Compound ID,Comp Conc. (µM),Chemotype,Pubmed ID,JAK1,TYK2,JAK2,JAK3,FER,FES,ABL-E255K,ABL-H396P,ABL-M351T,ABL-Q252H,ABL-T315I,ABL-Y253F,ABL1,ARG,CSK,BMX,BTK,TXK,TEC,ITK,BRK,SRMS,PTK5,BLK,LCK,HCK,LYNA,LYNB,FGR,FYN,SRC,YES,EPHA2,EPHA4,EPHA3,EPHB4,EPHB3,EPHB2,PYK2,SYK,ZAP70,LTK,ALK,ROS,INSR,IGF1R,IRR,DDR2,MUSK,TRKA,TRKB,TRKC,RON,MET,AXL,MER,TYRO3,RET,RET-V804L,RET-Y791F,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,KDR,FLT4,FMS,KIT,KIT-D816V,KIT-T6701,KIT-V560G,FLT3,FLT-3-D835Y,PDGFR?,PDGFR?-D842V,PDGFR?-T674I,PDGFR?-V561D,PDGFR?.1,TIE2,TNK2,TNK1,EGFR,EGFR-L858R,EGFR-L861Q,EGFR-T790M,EGFR-T790M-L858R,ERBB2,ERBB4,IRAK4,LRRK2,LRRK2-G2019S,CRAF,BRAF,BRAF-V599E,MAP4K2,MST1,MST2,MST4,MAP4K4,MINK,LOK,PAK1,PAK3,PAK2,PAK5,PAK6,MEK1,CK1a,CK1-g2,CK1-g1,CK1-g3,PLK1,GRK7,GRK6,PDK1,MSK1,MSK2,RSK1,RSK2,RSK4,RSK3,P70S6K1,AKT2,AKT1,AKT3,SGK1,SGK3,SGK2,PKC-?,PKC-?.1,PKC-?.2,PKC-?1,PKC-?2,PKC-?.3,PKC-?.4,PRKG2,PRKG1,PRKX,PKA,ROCK1,ROCK2,MRCK-?,MRCK-?.1,AURORA-B,AURORA-C,AURORA-A,CHEK2,DCAMKL2,CAMK4,CAMK1D,PHKG1,PHKG2,CAMK2D,CAMK2A,PRAK,MAPKAPK2,MAPKAPK3,MNK2,MKNK1,PRKD3,PRKD1,PRKD2,MARK4,MARK3,PAR-1B?,MARK1,SNF1LK2 (QIK),SNF1LK (SIK),ARK5,BRSK1,BRSK2,AMPKA1 (A1B1G1),AMPKA2 (A2B1G1),MELK,TSSK2,TSSK1,DAPK1,PIM2,PIM3,PIM1,CHEK1,PASK,NEK1,NEK2,NEK9,NEK7,NEK6,TBK1,IKKE,IKKB,IKKA,CDK5/p35,CDK1/cyclinB,CDK2/cyclinA,CDK2/cyclinE,CDK3/cyclinE,CDK6/cyclinD3,CDK4/cyclinD,JNK2,P38?,P38?.1,P38?.2,P38?.3,MAPK1,MAPK3,GSK3A,GSK3B,SRPK1,MSSK1,CLK3,CLK2,HIPK1,HIPK4,DYRK1B,DYRK1A,DYRK2,CK2,TTK,PI3-K-?,PI3-K-?.1,PI4-K-?,SPHK1,SPHK2,Canonical_SMILES,Changed
Nc1nccc(n1)-c1c(ncn1CCCN1CCOCC1)-c1ccc(F)cc1,1,01:4-pyrimidinyl_ortho-aryl_azoles,9873686,18,-2,0,-1,5,2,5,5,4,7,4,7,7,1.0,3,3,0,3,4,2,11,1,1,5,7,7,10,6,3,4,9,9,1,9,3,3,3,7,9,0,1.0,2,5,6.0,4,9.0,5,-1,4.0,2,7,5,2.0,5,-46.0,2.0,6,5.0,5,25.0,1.0,5.0,2.0,-1,0.0,11,17,2,11.0,5,0,2,3.0,-6.0,15,6,8,9,12.0,8,1,6.0,6.0,32,11,4,1,6,32.0,2,2,2,3,6,7,0,5,6,11,8,8,8,7,4,2,3,-20,4,27,4.0,5,7,4,8,6,1,7,3,5,3,4,2,1,1.0,2,4,6,3,7,7,7,5,7,7,3,3,4,5.0,5,9.0,3,5,1,2,5,-3,9,5,0.0,0,-1,5,5,2,2,4,2,23,1,8,5,5,5,2,9,1,7,12,6,-2.0,-1,2,3,5,3,3,3,6,2,1,1,5,1,4,6,15,4,0,5,6,5,5,0,3.0,-4,3,-2,1,3,16,65,20,5,4,5,6,5,5,-2,-2,1,1,-1,-1,0,3,4,4,7,3,3,-2,-6,1,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2CCCN2CCOCC2)n1,True
NC(=O)Cc1ccccc1Oc1nccc(n1)-c1c(ncn1C1CCNCC1)-c1ccc(F)cc1,1,01:4-pyrimidinyl_ortho-aryl_azoles,11354358,-3,-2,-1,1,4,2,2,-2,-2,2,-1,1,5,3.0,0,4,1,4,4,1,1,0,4,3,1,6,4,2,3,2,6,2,0,0,3,2,4,7,3,0,-5.0,2,8,7.0,6,4.0,2,1,2.0,1,1,1,4.0,3,2.0,3.0,0,3.0,1,5.0,3.0,5.0,4.0,1,0.0,3,0,1,0.0,-2,-1,-3,2.0,1.0,7,1,2,4,6.0,4,3,-3.0,5.0,8,0,1,4,-2,17.0,1,3,8,-7,6,5,3,4,4,-2,7,7,5,8,3,1,-3,-2,3,13,11.0,10,9,3,1,-1,2,2,2,1,1,2,4,1,0.0,0,1,0,1,1,0,1,2,3,4,0,0,4,4.0,-1,1.0,2,0,1,-1,1,8,0,6,0.0,0,2,6,1,3,2,-1,1,29,1,2,8,9,10,2,5,2,4,-4,5,3.0,6,5,1,3,5,0,2,5,1,1,1,6,-1,4,4,1,3,1,5,1,4,0,1,0.0,2,2,-1,1,1,6,74,13,3,1,4,2,3,2,-4,0,2,2,0,3,3,5,4,3,8,3,3,3,-2,0,NC(=O)Cc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,True
CCc1ccc(Oc2nccc(n2)-c2c(ncn2C2CCNCC2)-c2ccc(F)cc2)cc1,1,01:4-pyrimidinyl_ortho-aryl_azoles,11354358,5,-2,3,0,3,4,5,4,2,3,4,3,7,5.0,10,6,1,5,5,2,3,0,0,5,7,9,7,3,7,8,10,7,0,11,5,3,5,9,2,2,-4.0,3,2,7.0,4,4.0,3,4,6.0,3,2,3,3.0,3,-3.0,3.0,1,7.0,5,9.0,5.0,6.0,5.0,1,3.0,14,5,6,3.0,2,2,-2,5.0,8.0,10,4,9,4,14.0,4,2,1.0,8.0,16,6,5,8,8,12.0,3,6,7,-1,10,9,15,5,6,3,11,12,8,10,6,2,10,3,9,37,12.0,15,30,7,7,5,4,4,6,3,4,3,4,6,4.0,4,12,1,2,2,5,11,8,15,10,8,2,8,10.0,4,75.0,3,4,5,12,3,4,3,6,2.0,5,4,3,5,7,6,2,4,38,4,4,10,13,14,5,8,5,8,19,15,4.0,-1,4,9,7,6,3,5,5,0,4,2,7,1,2,2,-3,6,1,5,7,4,-1,2,2.0,3,3,-3,-4,2,13,92,77,3,5,12,8,7,7,-4,0,1,4,2,3,1,2,5,4,5,4,6,3,12,1,CCc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,True
CS(=O)(=O)c1ccc(Oc2nccc(n2)-c2c(ncn2C2CCNCC2)-c2ccc(F)cc2)cc1,1,01:4-pyrimidinyl_ortho-aryl_azoles,11354358,5,-2,0,-2,4,2,4,5,4,5,4,4,5,5.0,2,3,0,1,3,1,6,-3,2,3,3,5,7,3,3,2,2,4,1,10,3,3,5,9,2,-5,1.0,5,4,4.0,5,1.0,3,5,3.0,0,3,2,-2.0,6,-6.0,2.0,3,3.0,2,7.0,4.0,4.0,3.0,4,1.0,3,-3,3,5.0,1,4,-3,3.0,-11.0,8,4,5,3,2.0,5,2,3.0,5.0,3,4,3,-1,5,12.0,2,2,4,1,6,3,2,4,5,-3,5,7,8,4,4,1,1,-7,4,10,5.0,6,4,3,2,2,-1,-2,1,1,1,0,2,2,2.0,1,4,2,4,2,4,3,2,2,4,3,2,3,3.0,3,4.0,3,3,0,-1,4,2,4,4,2.0,7,5,5,4,4,1,2,1,28,-2,3,6,5,2,3,1,-1,2,5,7,0.0,2,1,4,3,6,2,4,-1,1,0,2,-2,0,3,6,7,5,2,1,5,7,6,0,-2.0,2,2,-5,-1,3,4,71,15,3,4,5,6,4,3,-3,0,0,-1,-3,-1,-2,3,2,2,10,10,6,-4,1,5,CS(=O)(=O)c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,True
Fc1ccc(cc1)-c1ncn(C2CCNCC2)c1-c1ccnc(Oc2cccc(c2)C(F)(F)F)n1,1,01:4-pyrimidinyl_ortho-aryl_azoles,11354358,8,-2,0,2,3,5,5,6,3,5,4,6,8,8.0,6,5,3,6,7,2,7,1,4,5,8,9,7,5,6,6,7,3,2,12,4,4,4,11,7,-4,2.0,4,5,8.0,4,6.0,4,2,-1.0,1,2,2,4.0,7,-6.0,-1.0,1,7.0,5,13.0,6.0,11.0,8.0,2,1.0,7,6,10,-6.0,5,5,-4,5.0,-1.0,15,5,14,6,10.0,6,2,7.0,6.0,10,4,3,3,6,14.0,2,3,7,3,9,6,5,6,8,5,8,9,12,8,6,3,2,-5,5,21,8.0,13,18,3,2,4,0,3,2,6,0,1,3,3,4.0,2,6,3,5,5,4,4,3,4,5,3,4,4,4.0,3,7.0,3,4,0,0,6,4,6,2,4.0,1,1,7,7,5,3,2,2,29,0,3,5,8,5,3,5,1,4,9,10,0.0,2,3,5,4,5,3,5,7,0,1,1,9,1,3,7,4,7,3,4,7,8,5,1,1.0,3,4,-2,-1,5,6,71,20,5,4,9,5,3,2,-2,-1,1,0,0,0,0,4,3,6,15,11,8,-15,-2,0,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3cccc(C(F)(F)F)c3)n2)cc1,True
Fc1ccc(cc1)-c1ncn(C2CCNCC2)c1-c1ccnc(Oc2ccc(cc2)C#N)n1,1,01:4-pyrimidinyl_ortho-aryl_azoles,11354358,3,0,1,2,4,4,4,6,4,6,5,6,5,7.0,1,4,1,2,6,0,5,-3,4,4,6,5,7,4,7,3,6,4,0,10,4,2,5,10,13,-4,2.0,6,5,8.0,4,1.0,4,6,1.0,0,5,3,5.0,6,-3.0,2.0,4,4.0,4,9.0,5.0,7.0,5.0,-1,-1.0,5,-1,9,6.0,2,5,-1,4.0,4.0,10,4,8,4,5.0,9,2,3.0,3.0,7,4,3,1,2,12.0,2,4,5,-1,6,4,4,4,5,-3,6,8,9,8,4,3,0,-7,4,10,5.0,6,5,5,5,3,0,-1,2,1,2,1,3,2,4.0,0,2,2,4,4,5,4,3,3,3,4,3,3,2.0,2,6.0,4,4,0,-3,5,4,5,4,3.0,6,1,7,5,5,0,1,1,31,-1,2,6,8,5,2,0,-1,3,10,8,1.0,0,3,4,3,5,5,4,0,1,1,2,0,0,2,5,9,6,4,3,5,6,5,1,1.0,2,3,-3,-1,4,6,74,15,4,4,7,6,3,2,-3,0,0,-1,-6,-1,-2,3,2,5,9,20,18,2,0,-1,N#Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,True
OC(=O)C(F)(F)F.Cc1cccc(Oc2nccc(n2)-c2c(ncn2C2CCNCC2)-c2ccc(F)cc2)c1C,1,01:4-pyrimidinyl_ortho-aryl_azoles,11354358,5,-3,0,0,4,3,4,3,1,3,3,3,5,4.0,2,3,0,3,4,2,4,-3,3,4,5,4,6,2,5,3,7,5,1,8,3,1,5,7,8,-5,-3.0,5,5,7.0,2,3.0,4,3,2.0,2,3,3,5.0,7,-5.0,2.0,2,7.0,8,8.0,11.0,7.0,7.0,0,2.0,7,2,3,5.0,5,4,0,1.0,2.0,10,4,5,4,7.0,5,1,6.0,8.0,35,9,2,7,6,11.0,1,6,6,-3,6,5,6,7,7,-2,8,10,7,6,5,1,3,-6,4,18,8.0,10,15,3,3,1,0,7,2,3,3,1,4,1,4.0,0,1,3,2,3,4,4,2,6,5,3,3,2,2.0,3,18.0,5,4,0,2,2,3,1,8,2.0,-1,0,8,5,3,-1,1,4,46,-2,1,15,18,14,4,5,4,5,13,9,2.0,4,5,5,5,5,1,4,12,0,0,2,12,0,0,6,6,5,4,2,5,6,3,3,4.0,7,6,-1,-2,5,12,95,68,3,4,7,3,5,4,-2,-1,1,0,2,0,0,4,2,5,10,5,4,0,1,0,Cc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1C.O=C(O)C(F)(F)F,True
Fc1ccc(cc1)-c1ncn(C2CCNCC2)c1-c1ccnc(Oc2ccc(F)c(F)c2)n1,1,01:4-pyrimidinyl_ortho-aryl_azoles,11354358,7,-5,1,-2,4,2,1,3,0,2,2,3,-1,0.0,2,3,-4,0,0,-3,5,-3,3,-2,-2,5,4,2,4,-4,7,0,-3,10,1,1,2,9,12,-2,-4.0,2,2,4.0,0,-5.0,3,2,5.0,3,4,4,3.0,4,-5.0,1.0,1,7.0,11,10.0,0.0,2.0,3.0,-4,5.0,11,-8,8,5.0,3,2,1,4.0,-6.0,15,3,8,6,11.0,3,0,4.0,-1.0,8,4,2,1,4,5.0,1,-4,2,-1,6,4,4,8,10,5,11,12,8,4,6,2,0,-4,4,15,2.0,2,2,3,2,2,1,-1,5,3,1,0,2,1,-3.0,-4,-2,4,2,4,6,4,-1,3,4,2,2,4,1.0,3,9.0,6,5,0,-3,2,5,0,3,-1.0,-2,-1,11,5,4,0,2,1,31,1,3,6,7,4,5,12,2,5,8,7,7.0,4,5,5,5,7,1,3,2,-3,0,-1,6,0,1,4,6,7,2,5,5,6,4,4,2.0,-1,6,-1,0,4,4,84,27,4,5,6,7,3,3,-1,-1,-4,0,-2,2,-3,0,2,3,14,3,4,2,-1,-3,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccc(F)c(F)c3)n2)cc1,True
COc1ccccc1Oc1nccc(n1)-c1c(ncn1C1CCNCC1)-c1ccc(F)cc1,1,01:4-pyrimidinyl_ortho-aryl_azoles,11354358,7,-3,1,4,11,4,3,5,2,4,2,4,5,5.0,4,6,1,7,5,3,4,-3,3,7,6,8,6,4,5,3,8,6,0,11,5,4,7,7,6,-2,0.0,3,5,4.0,3,0.0,4,1,4.0,3,4,3,7.0,8,-5.0,4.0,3,9.0,11,10.0,6.0,8.0,8.0,0,2.0,10,3,8,9.0,6,3,1,4.0,1.0,14,4,10,5,8.0,6,2,4.0,9.0,5,4,2,0,13,19.0,3,11,10,-2,8,4,10,11,12,8,14,15,10,6,7,2,-1,-11,4,19,7.0,8,11,26,4,3,3,-5,6,4,3,2,5,3,2.0,0,2,4,3,2,7,0,1,3,3,4,3,5,3.0,2,7.0,6,8,1,0,7,9,4,-3,1.0,0,0,10,6,4,0,2,-1,31,4,6,12,14,11,6,8,4,8,14,9,6.0,5,8,7,7,8,3,4,-5,0,1,2,0,1,2,7,6,7,1,6,7,7,5,7,6.0,5,9,-1,2,8,6,84,71,5,5,7,4,8,7,-2,2,1,0,2,1,2,5,3,6,16,4,2,-4,-2,1,COc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,True
CC(C)(C)c1ccc(Oc2nccc(n2)-c2c(ncn2C2CCNCC2)-c2ccc(F)cc2)cc1,1,01:4-pyrimidinyl_ortho-aryl_azoles,11354358,5,-2,2,-1,0,3,4,5,3,5,4,5,5,4.0,3,4,-1,3,3,1,4,-2,2,3,4,8,7,4,10,5,4,5,-2,10,4,2,4,10,10,-1,-11.0,4,3,3.0,5,1.0,2,46,5.0,7,5,4,5.0,8,-2.0,4.0,3,7.0,8,11.0,3.0,4.0,3.0,2,2.0,7,0,2,,6,4,0,3.0,2.0,12,6,9,8,9.0,5,2,4.0,9.0,11,7,4,2,5,14.0,2,3,5,2,15,12,26,7,6,-2,12,13,8,6,3,2,3,-7,13,37,20.0,24,37,4,1,4,3,-2,2,1,2,1,2,2,2.0,1,4,1,2,3,6,7,5,4,6,3,2,4,2.0,3,21.0,4,3,1,1,7,4,4,5,1.0,3,3,7,3,8,5,1,1,36,1,4,8,10,9,4,1,1,5,16,9,4.0,2,5,5,6,10,2,5,-3,1,1,2,0,0,3,4,13,7,3,5,6,7,-5,4,4.0,3,7,0,2,7,10,93,81,4,4,16,11,6,5,-2,-1,0,0,-3,1,-2,4,1,4,14,2,5,2,1,3,CC(C)(C)c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,True
